group,id,block,trial,choice,reward
P,1,2,92,2,1
P,1,2,93,1,0
P,1,2,94,2,1
P,1,2,95,1,0
P,1,2,96,1,0
P,1,2,97,2,1
P,1,2,98,2,1
P,1,2,99,2,1
P,1,2,100,1,0
P,1,2,101,2,0
P,1,2,102,2,0
P,1,2,103,2,1
P,1,2,104,2,0
P,1,2,105,2,1
P,1,2,106,2,1
P,1,2,107,2,1
P,1,2,108,2,1
P,1,2,109,1,0
P,1,2,110,2,1
P,1,2,111,2,0
P,1,2,112,2,1
P,1,2,113,2,1
P,1,2,114,2,1
P,1,2,115,2,1
P,1,2,116,2,1
P,1,2,117,1,0
P,1,2,118,2,1
P,1,2,119,1,0
P,1,2,120,1,0
P,1,2,121,2,1
P,1,2,122,2,1
P,1,2,123,2,1
P,1,2,124,2,1
P,1,2,125,2,1
P,1,2,126,2,1
P,1,2,127,2,1
P,1,2,128,2,1
P,1,2,129,2,1
P,1,2,130,2,1
P,1,2,131,2,1
P,1,2,132,2,1
P,1,2,133,2,1
P,1,2,134,1,0
P,1,2,135,2,1
P,1,2,136,2,0
P,1,2,137,2,0
P,1,2,138,2,1
P,1,2,139,1,1
P,1,2,140,1,0
P,1,2,141,2,1
P,1,2,142,2,1
P,1,2,143,2,1
P,1,2,144,1,0
P,1,2,145,2,1
P,1,2,146,2,1
P,1,2,147,2,1
P,1,2,148,2,1
P,1,2,149,2,1
P,1,2,150,2,1
P,1,2,151,1,1
P,1,2,152,2,1
P,1,2,153,2,1
P,1,2,154,2,1
P,1,2,155,2,1
P,1,2,156,2,0
P,1,2,157,2,0
P,1,2,158,1,0
P,1,2,159,1,0
P,1,2,160,2,0
P,2,1,1,1,1
P,2,1,2,1,0
P,2,1,3,1,1
P,2,1,4,1,1
P,2,1,5,1,0
P,2,1,6,2,0
P,2,1,7,1,1
P,2,1,8,1,1
P,2,1,9,2,0
P,2,1,10,1,0
P,2,1,11,1,0
P,2,1,12,2,1
P,2,1,13,1,1
P,2,1,14,2,0
P,2,1,15,2,0
P,2,1,16,1,0
P,2,1,17,1,1
P,2,1,18,1,1
P,2,1,19,1,1
P,2,1,20,1,1
P,2,1,21,1,1
P,2,1,22,1,1
P,2,1,23,1,1
P,2,1,24,2,0
P,2,1,25,1,1
P,2,1,26,1,1
P,2,1,27,1,1
P,2,1,28,1,1
P,2,1,29,1,0
P,2,1,30,1,1
P,2,1,31,1,1
P,2,1,32,1,1
P,2,1,33,1,0
P,2,1,34,2,0
P,2,1,35,1,1
P,2,1,36,1,1
P,2,1,37,1,1
P,2,1,38,1,1
P,2,1,39,1,1
P,2,1,40,1,0
P,2,1,41,2,0
P,2,1,42,1,1
P,2,1,43,1,1
P,2,1,44,1,1
P,2,1,45,1,1
P,2,1,46,1,1
P,2,1,47,2,0
P,2,1,48,1,1
P,2,1,49,1,0
P,2,1,50,1,1
P,2,1,51,1,0
P,2,1,52,1,1
P,2,1,53,2,0
P,2,1,54,1,0
P,2,1,55,1,1
P,2,1,56,1,1
P,2,1,57,2,0
P,2,1,58,1,0
P,2,1,59,1,1
P,2,1,60,2,0
P,2,1,61,1,0
P,2,1,62,1,1
P,2,1,63,1,0
P,2,1,64,1,1
P,2,1,65,1,1
P,2,1,66,1,0
P,2,1,67,1,1
P,2,1,68,1,0
P,2,1,69,1,0
P,2,1,70,1,1
P,2,1,71,1,1
P,2,1,72,1,1
P,2,1,73,1,1
P,2,1,74,1,0
P,2,1,75,2,0
P,2,1,76,1,1
P,2,1,77,1,1
P,2,1,78,1,1
P,2,1,79,2,1
P,2,1,80,1,1
P,2,2,81,1,0
P,2,2,82,2,1
P,2,2,83,2,1
P,2,2,84,1,0
P,2,2,85,2,1
P,2,2,86,2,1
P,2,2,87,1,0
P,2,2,88,1,1
P,2,2,89,1,0
P,2,2,90,1,1
P,2,2,91,2,1
P,2,2,92,2,0
P,2,2,93,2,1
P,2,2,94,2,0
P,2,2,95,2,1
P,2,2,96,2,1
P,2,2,97,1,0
P,2,2,98,2,0
P,2,2,99,1,0
P,2,2,100,2,1
P,2,2,101,2,0
P,2,2,102,2,1
P,2,2,103,2,1
P,2,2,104,2,1
P,2,2,105,2,1
P,2,2,106,2,1
P,2,2,107,2,1
P,2,2,108,2,1
P,2,2,109,2,1
P,2,2,110,1,0
P,2,2,111,1,0
P,2,2,112,1,0
P,2,2,113,2,1
P,2,2,114,2,1
P,2,2,115,2,1
P,2,2,116,2,1
P,2,2,117,2,1
P,2,2,118,2,0
P,2,2,119,2,1
P,2,2,120,2,1
P,2,2,121,2,1
P,2,2,122,1,0
P,2,2,123,2,1
P,2,2,124,2,1
P,2,2,125,2,1
P,2,2,126,2,1
P,2,2,127,2,1
P,2,2,128,2,1
P,2,2,129,1,0
P,2,2,130,2,1
P,2,2,131,2,0
P,2,2,132,1,0
P,2,2,133,2,1
P,2,2,134,2,0
P,2,2,135,2,1
P,2,2,136,1,0
P,2,2,137,2,1
P,2,2,138,2,1
P,2,2,139,2,1
P,2,2,140,1,0
P,2,2,141,2,1
P,2,2,142,2,0
P,2,2,143,2,1
P,2,2,144,2,1
P,2,2,145,1,0
P,2,2,146,1,0
P,2,2,147,2,1
P,2,2,148,2,1
P,2,2,149,2,1
P,2,2,150,2,0
P,2,2,151,2,0
P,2,2,152,1,1
P,2,2,153,2,1
P,2,2,154,1,0
P,2,2,155,2,0
P,2,2,156,2,1
P,2,2,157,2,1
P,2,2,158,1,0
P,2,2,159,2,1
P,2,2,160,2,1
P,3,1,1,1,1
P,3,1,2,2,0
P,3,1,3,2,0
P,3,1,4,2,0
P,3,1,5,1,0
P,3,1,6,1,1
P,3,1,7,2,1
P,3,1,8,1,1
P,3,1,9,1,1
P,3,1,10,1,1
P,3,1,11,2,0
P,3,1,12,1,1
P,3,1,13,1,0
P,3,1,14,2,0
P,3,1,15,1,1
P,3,1,16,1,1
P,3,1,17,2,0
P,3,1,18,1,1
P,3,1,19,2,0
P,3,1,20,1,1
P,3,1,21,1,1
P,3,1,22,1,1
P,3,1,23,1,0
P,3,1,24,2,1
P,3,1,25,2,0
P,3,1,26,1,1
P,3,1,27,1,1
P,3,1,28,1,1
P,3,1,29,1,1
P,3,1,30,1,1
P,3,1,31,1,1
P,3,1,32,1,1
P,3,1,33,2,0
P,3,1,34,1,1
P,3,1,35,1,1
P,3,1,36,1,0
P,3,1,37,2,0
P,3,1,38,1,1
P,3,1,39,1,1
P,3,1,40,1,1
P,3,1,41,2,0
P,3,1,42,1,1
P,3,1,43,2,0
P,3,1,44,1,0
P,3,1,45,2,0
P,3,1,46,1,1
P,3,1,47,1,1
P,3,1,48,1,1
P,3,1,49,1,1
P,3,1,50,1,1
P,3,1,51,1,1
P,3,1,52,1,1
P,3,1,53,1,1
P,3,1,54,1,1
P,3,1,55,1,1
P,3,1,56,1,1
P,3,1,57,1,1
P,3,1,58,1,1
P,3,1,59,1,1
P,3,1,60,1,1
P,3,1,61,1,1
P,3,1,62,1,1
P,3,1,63,1,1
P,3,1,64,1,1
P,3,1,65,1,0
P,3,1,66,2,0
P,3,1,67,1,1
P,3,1,68,1,1
P,3,1,69,1,1
P,3,1,70,1,1
P,3,1,71,1,1
P,3,1,72,1,1
P,3,1,73,1,1
P,3,1,74,1,1
P,3,1,75,1,1
P,3,1,76,1,1
P,3,1,77,1,1
P,3,1,78,1,1
P,3,1,79,1,1
P,3,1,80,1,1
P,3,2,81,1,1
P,3,2,82,1,0
P,3,2,83,2,1
P,3,2,84,1,0
P,3,2,85,1,0
P,3,2,86,1,0
P,3,2,87,1,0
P,3,2,88,2,1
P,3,2,89,1,1
P,3,2,90,1,1
P,3,2,91,1,0
P,3,2,92,1,1
P,3,2,93,1,1
P,3,2,94,1,0
P,3,2,95,2,1
P,3,2,96,2,0
P,3,2,97,1,0
P,3,2,98,2,0
P,3,2,99,1,0
P,3,2,100,2,0
P,3,2,101,1,0
P,3,2,102,1,0
P,3,2,103,2,1
P,3,2,104,1,0
P,3,2,105,2,0
P,3,2,106,1,0
P,3,2,107,1,0
P,3,2,108,2,1
P,3,2,109,1,1
P,3,2,110,1,0
P,3,2,111,2,1
P,3,2,112,2,1
P,3,2,113,2,1
P,3,2,114,2,1
P,3,2,115,2,1
P,3,2,116,2,1
P,3,2,117,2,1
P,3,2,118,2,1
P,3,2,119,1,0
P,3,2,120,2,1
P,3,2,121,2,1
P,3,2,122,2,1
P,3,2,123,1,0
P,3,2,124,2,1
P,3,2,125,2,0
P,3,2,126,2,1
P,3,2,127,2,1
P,3,2,128,2,1
P,3,2,129,1,1
P,3,2,130,2,1
P,3,2,131,2,0
P,3,2,132,2,1
P,3,2,133,2,1
P,3,2,134,1,0
P,3,2,135,1,0
P,3,2,136,2,0
P,3,2,137,2,1
P,3,2,138,2,1
P,3,2,139,2,0
P,3,2,140,2,1
P,3,2,141,2,1
P,3,2,142,2,1
P,3,2,143,2,1
P,3,2,144,2,1
P,3,2,145,2,1
P,3,2,146,1,0
P,3,2,147,2,1
P,3,2,148,2,0
P,3,2,149,2,1
P,3,2,150,2,0
P,3,2,151,2,1
P,3,2,152,2,1
P,3,2,153,2,1
P,3,2,154,2,1
P,3,2,155,2,0
P,3,2,156,2,1
P,3,2,157,2,1
P,3,2,158,2,1
P,3,2,159,2,1
P,3,2,160,2,1
P,4,1,1,2,0
P,4,1,2,1,1
P,4,1,3,1,1
P,4,1,4,1,1
P,4,1,5,1,1
P,4,1,6,2,0
P,4,1,7,2,1
P,4,1,8,1,1
P,4,1,9,2,0
P,4,1,10,2,0
P,4,1,11,1,1
P,4,1,12,1,1
P,4,1,13,1,1
P,4,1,14,1,1
P,4,1,15,1,1
P,4,1,16,1,1
P,4,1,17,1,1
P,4,1,18,1,1
P,4,1,19,1,0
P,4,1,20,1,1
P,4,1,21,1,0
P,4,1,22,1,1
P,4,1,23,2,0
P,4,1,24,1,1
P,4,1,25,1,1
P,4,1,26,1,0
P,4,1,27,2,0
P,4,1,28,1,1
P,4,1,29,1,1
P,4,1,30,2,1
P,4,1,31,1,1
P,4,1,32,1,1
P,4,1,33,1,1
P,4,1,34,2,0
P,4,1,35,1,1
P,4,1,36,1,1
P,4,1,37,1,1
P,4,1,38,2,0
P,4,1,39,1,0
P,4,1,40,1,0
P,4,1,41,1,1
P,4,1,42,2,1
P,4,1,43,1,0
P,4,1,44,2,1
P,4,1,45,2,0
P,4,1,46,1,1
P,4,1,47,2,0
P,4,1,48,1,1
P,4,1,49,2,0
P,4,1,50,1,0
P,4,1,51,1,1
P,4,1,52,1,1
P,4,1,53,2,0
P,4,1,54,1,1
P,4,1,55,1,1
P,4,1,56,1,0
P,4,1,57,1,0
P,4,1,58,1,1
P,4,1,59,1,1
P,4,1,60,1,1
P,4,1,61,2,1
P,4,1,62,1,0
P,4,1,63,1,1
P,4,1,64,2,0
P,4,1,65,1,1
P,4,1,66,2,0
P,4,1,67,1,1
P,4,1,68,2,0
P,4,1,69,1,1
P,4,1,70,1,1
P,4,1,71,2,0
P,4,1,72,1,0
P,4,1,73,2,0
P,4,1,74,1,1
P,4,1,75,1,1
P,4,1,76,1,1
P,4,1,77,1,1
P,4,1,78,1,1
P,4,1,79,2,0
P,4,1,80,1,1
P,4,2,81,1,0
P,4,2,82,1,0
P,4,2,83,1,0
P,4,2,84,2,1
P,4,2,85,1,0
P,4,2,86,1,0
P,4,2,87,2,1
P,4,2,88,1,0
P,4,2,89,2,1
P,4,2,90,1,0
P,4,2,91,2,1
P,4,2,92,2,1
P,4,2,93,2,1
P,4,2,94,1,0
P,4,2,95,2,0
P,4,2,96,2,0
P,4,2,97,2,0
P,4,2,98,1,0
P,4,2,99,2,1
P,4,2,100,2,1
P,4,2,101,2,1
P,4,2,102,2,1
P,4,2,103,1,0
P,4,2,104,2,0
P,4,2,105,2,0
P,4,2,106,1,0
P,4,2,107,2,1
P,4,2,108,2,1
P,4,2,109,2,0
P,4,2,110,2,1
P,4,2,111,2,1
P,4,2,112,2,1
P,4,2,113,2,1
P,4,2,114,2,0
P,4,2,115,1,0
P,4,2,116,2,0
P,4,2,117,2,1
P,4,2,118,1,0
P,4,2,119,2,0
P,4,2,120,2,1
P,4,2,121,2,0
P,4,2,122,1,0
P,4,2,123,2,1
P,4,2,124,1,0
P,4,2,125,1,0
P,4,2,126,2,1
P,4,2,127,1,0
P,4,2,128,2,1
P,4,2,129,2,1
P,4,2,130,2,1
P,4,2,131,2,0
P,4,2,132,2,1
P,4,2,133,2,1
P,4,2,134,2,0
P,4,2,135,2,0
P,4,2,136,2,1
P,4,2,137,2,1
P,4,2,138,2,0
P,4,2,139,1,0
P,4,2,140,2,0
P,4,2,141,2,1
P,4,2,142,2,0
P,4,2,143,1,0
P,4,2,144,2,1
P,4,2,145,2,1
P,4,2,146,2,1
P,4,2,147,2,0
P,4,2,148,2,1
P,4,2,149,2,0
P,4,2,150,2,1
P,4,2,151,1,0
P,4,2,152,2,0
P,4,2,153,2,1
P,4,2,154,2,1
P,4,2,155,2,0
P,4,2,156,1,0
P,4,2,157,1,0
P,4,2,158,2,1
P,4,2,159,2,1
P,4,2,160,1,0
P,5,1,1,1,1
P,5,1,2,2,0
P,5,1,3,1,0
P,5,1,4,2,0
P,5,1,5,2,0
P,5,1,6,2,0
P,5,1,7,1,1
P,5,1,8,2,1
P,5,1,9,1,1
P,5,1,10,1,0
P,5,1,11,2,0
P,5,1,12,2,0
P,5,1,13,1,1
P,5,1,14,2,0
P,5,1,15,1,1
P,5,1,16,1,1
P,5,1,17,1,1
P,5,1,18,1,0
P,5,1,19,1,1
P,5,1,20,2,0
P,5,1,21,1,1
P,5,1,22,2,0
P,5,1,23,1,1
P,5,1,24,1,1
P,5,1,25,1,1
P,5,1,26,1,0
P,5,1,27,1,1
P,5,1,28,2,0
P,5,1,29,1,0
P,5,1,30,1,1
P,5,1,31,1,1
P,5,1,32,1,1
P,5,1,33,1,1
P,5,1,34,1,1
P,5,1,35,2,0
P,5,1,36,2,0
P,5,1,37,2,0
P,5,1,38,1,1
P,5,1,39,1,1
P,5,1,40,1,1
P,5,1,41,1,0
P,5,1,42,2,0
P,5,1,43,1,1
P,5,1,44,1,1
P,5,1,45,1,1
P,5,1,46,1,1
P,5,1,47,1,1
P,5,1,48,1,1
P,5,1,49,1,0
P,5,1,50,1,1
P,5,1,51,1,1
P,5,1,52,2,0
P,5,1,53,1,1
P,5,1,54,1,1
P,5,1,55,2,0
P,5,1,56,1,1
P,5,1,57,1,1
P,5,1,58,2,1
P,5,1,59,1,0
P,5,1,60,2,0
P,5,1,61,1,1
P,5,1,62,2,0
P,5,1,63,1,1
P,5,1,64,1,1
P,5,1,65,1,1
P,5,1,66,1,1
P,5,1,67,1,1
P,5,1,68,1,1
P,5,1,69,2,0
P,5,1,70,1,1
P,5,1,71,1,1
P,5,1,72,1,1
P,5,1,73,1,0
P,5,1,74,1,1
P,5,1,75,1,1
P,5,1,76,2,0
P,5,1,77,1,1
P,5,1,78,1,1
P,5,1,79,1,1
P,5,1,80,1,1
P,5,2,81,1,0
P,5,2,82,1,0
P,5,2,83,1,0
P,5,2,84,2,1
P,5,2,85,1,0
P,5,2,86,1,0
P,5,2,87,1,0
P,5,2,88,1,0
P,5,2,89,1,0
P,5,2,90,2,1
P,5,2,91,1,1
P,5,2,92,1,0
P,5,2,93,2,1
P,5,2,94,2,1
P,5,2,95,2,0
P,5,2,96,1,0
P,5,2,97,1,0
P,5,2,98,2,0
P,5,2,99,2,1
P,5,2,100,2,1
P,5,2,101,2,0
P,5,2,102,1,0
P,5,2,103,2,1
P,5,2,104,2,1
P,5,2,105,1,0
P,5,2,106,1,0
P,5,2,107,2,0
P,5,2,108,2,1
P,5,2,109,2,1
P,5,2,110,2,1
P,5,2,111,2,1
P,5,2,112,2,1
P,5,2,113,2,1
P,5,2,114,2,0
P,5,2,115,2,0
P,5,2,116,1,0
P,5,2,117,1,0
P,5,2,118,1,1
P,5,2,119,1,1
P,5,2,120,2,1
P,5,2,121,2,0
P,5,2,122,2,1
P,5,2,123,1,0
P,5,2,124,2,1
P,5,2,125,2,1
P,5,2,126,1,1
P,5,2,127,1,1
P,5,2,128,2,1
P,5,2,129,2,1
P,5,2,130,2,1
P,5,2,131,2,1
P,5,2,132,2,1
P,5,2,133,1,1
P,5,2,134,2,1
P,5,2,135,2,1
P,5,2,136,1,0
P,5,2,137,2,1
P,5,2,138,2,1
P,5,2,139,1,0
P,5,2,140,2,1
P,5,2,141,2,1
P,5,2,142,1,1
P,5,2,143,2,0
P,5,2,144,2,1
P,5,2,145,2,0
P,5,2,146,1,0
P,5,2,147,2,1
P,5,2,148,2,1
P,5,2,149,1,1
P,5,2,150,2,1
P,5,2,151,2,1
P,5,2,152,1,1
P,5,2,153,1,0
P,5,2,154,2,1
P,5,2,155,2,1
P,5,2,156,2,1
P,5,2,157,1,0
P,5,2,158,2,1
P,5,2,159,2,1
P,5,2,160,2,0
P,6,1,1,2,0
P,6,1,2,1,1
P,6,1,3,1,1
P,6,1,4,2,0
P,6,1,5,2,0
P,6,1,6,2,1
P,6,1,7,2,0
P,6,1,8,1,1
P,6,1,9,1,1
P,6,1,10,1,1
P,6,1,11,1,0
P,6,1,12,2,0
P,6,1,13,2,0
P,6,1,14,1,1
P,6,1,15,2,0
P,6,1,16,1,1
P,6,1,17,1,1
P,6,1,18,1,1
P,6,1,19,1,1
P,6,1,20,2,0
P,6,1,21,1,1
P,6,1,22,1,0
P,6,1,23,1,1
P,6,1,24,1,1
P,6,1,25,2,0
P,6,1,26,1,1
P,6,1,27,1,1
P,6,1,28,1,0
P,6,1,29,1,1
P,6,1,30,1,1
P,6,1,31,1,1
P,6,1,32,1,1
P,6,1,33,1,1
P,6,1,34,1,1
P,6,1,35,1,1
P,6,1,36,1,1
P,6,1,37,1,1
P,6,1,38,2,0
P,6,1,39,1,1
P,6,1,40,1,1
P,6,1,41,1,1
P,6,1,42,1,1
P,6,1,43,1,1
P,6,1,44,1,1
P,6,1,45,1,1
P,6,1,46,1,0
P,6,1,47,1,1
P,6,1,48,1,1
P,6,1,49,1,1
P,6,1,50,1,1
P,6,1,51,1,0
P,6,1,52,1,1
P,6,1,53,1,1
P,6,1,54,1,1
P,6,1,55,1,0
P,6,1,56,2,0
P,6,1,57,1,1
P,6,1,58,1,1
P,6,1,59,1,1
P,6,1,60,1,1
P,6,1,61,1,1
P,6,1,62,1,1
P,6,1,63,1,0
P,6,1,64,2,0
P,6,1,65,2,0
P,6,1,66,1,1
P,6,1,67,2,0
P,6,1,68,1,1
P,6,1,69,1,1
P,6,1,70,2,0
P,6,1,71,1,1
P,6,1,72,1,1
P,6,1,73,1,1
P,6,1,74,1,1
P,6,1,75,2,0
P,6,1,76,1,1
P,6,1,77,1,1
P,6,1,78,1,1
P,6,1,79,1,0
P,6,1,80,2,0
P,6,2,81,1,0
P,6,2,82,1,0
P,6,2,83,1,0
P,6,2,84,1,0
P,6,2,85,2,0
P,6,2,86,1,0
P,6,2,87,1,0
P,6,2,88,2,1
P,6,2,89,2,1
P,6,2,90,2,1
P,6,2,91,2,0
P,6,2,92,1,0
P,6,2,93,2,0
P,6,2,94,2,1
P,6,2,95,2,1
P,6,2,96,1,1
P,6,2,97,1,1
P,6,2,98,2,1
P,6,2,99,1,0
P,6,2,100,2,1
P,6,2,101,2,1
P,6,2,102,2,1
P,6,2,103,2,1
P,6,2,104,2,1
P,6,2,105,1,0
P,6,2,106,2,1
P,6,2,107,2,1
P,6,2,108,1,0
P,6,2,109,2,1
P,6,2,110,2,1
P,6,2,111,2,1
P,6,2,112,2,1
P,6,2,113,2,1
P,6,2,114,2,1
P,6,2,115,2,1
P,6,2,116,2,1
P,6,2,117,2,1
P,6,2,118,2,0
P,6,2,119,2,1
P,6,2,120,2,1
P,6,2,121,2,1
P,6,2,122,2,1
P,6,2,123,2,0
P,6,2,124,2,0
P,6,2,125,2,1
P,6,2,126,2,1
P,6,2,127,2,1
P,6,2,128,2,0
P,6,2,129,1,0
P,6,2,130,1,1
P,6,2,131,2,1
P,6,2,132,1,0
P,6,2,133,2,1
P,6,2,134,1,0
P,6,2,135,2,1
P,6,2,136,2,0
P,6,2,137,2,1
P,6,2,138,2,0
P,6,2,139,2,1
P,6,2,140,2,0
P,6,2,141,2,1
P,6,2,142,1,0
P,6,2,143,1,0
P,6,2,144,2,1
P,6,2,145,2,1
P,6,2,146,2,0
P,6,2,147,2,0
P,6,2,148,2,0
P,6,2,149,1,0
P,6,2,150,2,1
P,6,2,151,2,0
P,6,2,152,1,0
P,6,2,153,1,0
P,6,2,154,1,0
P,6,2,155,2,1
P,6,2,156,2,0
P,6,2,157,1,0
P,6,2,158,1,0
P,6,2,159,1,0
P,6,2,160,2,1
P,7,1,1,1,1
P,7,1,2,1,1
P,7,1,3,2,0
P,7,1,4,1,1
P,7,1,5,1,1
P,7,1,6,1,0
P,7,1,7,1,1
P,7,1,8,1,1
P,7,1,9,1,1
P,7,1,10,1,0
P,7,1,11,1,1
P,7,1,12,1,0
P,7,1,13,2,1
P,7,1,14,2,0
P,7,1,15,2,0
P,7,1,16,1,1
P,7,1,17,2,0
P,7,1,18,1,1
P,7,1,19,2,0
P,7,1,20,1,1
P,7,1,21,2,1
P,7,1,22,1,1
P,7,1,23,2,0
P,7,1,24,1,1
P,7,1,25,1,0
P,7,1,26,2,0
P,7,1,27,1,0
P,7,1,28,2,1
P,7,1,29,1,1
P,7,1,30,1,1
P,7,1,31,1,1
P,7,1,32,1,1
P,7,1,33,1,0
P,7,1,34,1,1
P,7,1,35,2,0
P,7,1,36,1,1
P,7,1,37,2,0
P,7,1,38,1,1
P,7,1,39,1,1
P,7,1,40,1,1
P,7,1,41,1,1
P,7,1,42,1,1
P,7,1,43,2,0
P,7,1,44,2,0
P,7,1,45,1,1
P,7,1,46,2,0
P,7,1,47,2,1
P,7,1,48,1,0
P,7,1,49,1,1
P,7,1,50,2,0
P,7,1,51,1,1
P,7,1,52,1,1
P,7,1,53,1,1
P,7,1,54,1,1
P,7,1,55,2,0
P,7,1,56,1,1
P,7,1,57,1,1
P,7,1,58,2,0
P,7,1,59,1,1
P,7,1,60,1,1
P,7,1,61,1,1
P,7,1,62,1,0
P,7,1,63,1,1
P,7,1,64,1,1
P,7,1,65,1,1
P,7,1,66,2,0
P,7,1,67,2,1
P,7,1,68,1,1
P,7,1,69,1,1
P,7,1,70,1,1
P,7,1,71,1,1
P,7,1,72,1,1
P,7,1,73,2,0
P,7,1,74,1,1
P,7,1,75,2,0
P,7,1,76,1,0
P,7,1,77,1,1
P,7,1,78,1,1
P,7,1,79,1,1
P,7,1,80,1,1
P,7,2,81,1,1
P,7,2,82,1,0
P,7,2,83,1,0
P,7,2,84,1,0
P,7,2,85,2,1
P,7,2,86,1,0
P,7,2,87,2,1
P,7,2,88,1,0
P,7,2,89,2,1
P,7,2,90,1,0
P,7,2,91,1,0
P,7,2,92,1,0
P,7,2,93,1,0
P,7,2,94,1,0
P,7,2,95,1,0
P,7,2,96,1,0
P,7,2,97,2,1
P,7,2,98,1,0
P,7,2,99,2,1
P,7,2,100,2,1
P,7,2,101,1,0
P,7,2,102,2,1
P,7,2,103,2,1
P,7,2,104,2,1
P,7,2,105,2,1
P,7,2,106,2,1
P,7,2,107,2,1
P,7,2,108,2,0
P,7,2,109,2,1
P,7,2,110,2,1
P,7,2,111,1,0
P,7,2,112,2,0
P,7,2,113,1,1
P,7,2,114,2,1
P,7,2,115,2,1
P,7,2,116,2,1
P,7,2,117,2,1
P,7,2,118,1,0
P,7,2,119,1,0
P,7,2,120,2,1
P,7,2,121,2,1
P,7,2,122,2,1
P,7,2,123,2,0
P,7,2,124,1,0
P,7,2,125,2,1
P,7,2,126,2,1
P,7,2,127,1,0
P,7,2,128,2,1
P,7,2,129,2,1
P,7,2,130,2,1
P,7,2,131,2,1
P,7,2,132,1,0
P,7,2,133,2,1
P,7,2,134,2,0
P,7,2,135,2,1
P,7,2,136,1,0
P,7,2,137,2,0
P,7,2,138,2,1
P,7,2,139,2,1
P,7,2,140,2,0
P,7,2,141,2,1
P,7,2,142,2,0
P,7,2,143,2,1
P,7,2,144,2,1
P,7,2,145,2,1
P,7,2,146,2,1
P,7,2,147,2,1
P,7,2,148,2,1
P,7,2,149,2,1
P,7,2,150,2,1
P,7,2,151,2,1
P,7,2,152,1,0
P,7,2,153,2,1
P,7,2,154,2,0
P,7,2,155,2,0
P,7,2,156,2,1
P,7,2,157,2,1
P,7,2,158,2,1
P,7,2,159,2,1
P,7,2,160,2,1
P,8,1,1,2,0
P,8,1,2,2,0
P,8,1,3,1,1
P,8,1,4,2,0
P,8,1,5,1,1
P,8,1,6,1,1
P,8,1,7,2,0
P,8,1,8,2,0
P,8,1,9,2,1
P,8,1,10,1,1
P,8,1,11,1,1
P,8,1,12,1,1
P,8,1,13,1,1
P,8,1,14,1,0
P,8,1,15,1,1
P,8,1,16,1,0
P,8,1,17,1,1
P,8,1,18,2,0
P,8,1,19,1,1
P,8,1,20,1,1
P,8,1,21,1,0
P,8,1,22,1,1
P,8,1,23,2,0
P,8,1,24,1,1
P,8,1,25,2,1
P,8,1,26,2,1
P,8,1,27,1,0
P,8,1,28,1,1
P,8,1,29,2,0
P,8,1,30,1,1
P,8,1,31,1,1
P,8,1,32,1,1
P,8,1,33,2,0
P,8,1,34,1,1
P,8,1,35,1,1
P,8,1,36,1,0
P,8,1,37,1,1
P,8,1,38,2,0
P,8,1,39,1,1
P,8,1,40,1,1
P,8,1,41,2,0
P,8,1,42,1,1
P,8,1,43,1,1
P,8,1,44,2,0
